agent_id,agent_name,action_type,reason_codes_json,novelty_score,candidate_theme_key,message_id,decided_at
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""stale_headline_no_thesis"",""fresh_catalyst_signal""]",87,duration_pressure,,2026-05-13T05:00:57.329Z
commodities-agent,Commodities Agent,stay_silent,"[""stale_headline_no_thesis"",""fresh_catalyst_signal"",""unresolved_thesis_nudge""]",66,inflation_regime,,2026-05-13T05:00:56.611Z
equities-agent,Equities Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""conceptual_repetition_suppressed""]",51,consumer_equities,,2026-05-13T05:00:55.847Z
fx-agent,FX Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""conceptual_repetition_suppressed""]",83,policy_divergence,,2026-05-13T05:00:55.252Z
rates-agent,Rates Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""conceptual_repetition_suppressed""]",77,duration_pressure,,2026-05-13T05:00:54.473Z
macro-agent,Macro Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""stance_lock_challenge""]",85,policy_divergence,fe72d145-8338-4790-9560-ba2c7ba57297,2026-05-13T05:00:38.604Z
risk-sentiment-agent,Risk/Sentiment Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal""]",89,growth_softness_vs_multiple_risk,3cd76d0e-42d2-4411-810f-fdffee9cb9c4,2026-05-13T04:02:09.586Z
commodities-agent,Commodities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed""]",86,oil_geopolitics_and_inflation_pass_through,,2026-05-13T04:02:08.817Z
equities-agent,Equities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed""]",84,growth_softness_vs_multiple_risk,,2026-05-13T04:02:08.018Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",82,oil_geopolitics_and_inflation_pass_through,becd27a0-e20d-4f95-a4fa-e85a3c6f6151,2026-05-13T04:01:40.852Z
rates-agent,Rates Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""rates_template_repetition"",""no_fresh_signal""]",82,rates_repricing_and_duration_pressure,,2026-05-13T04:01:40.093Z
macro-agent,Macro Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""headline_routed_to_comment"",""conceptual_repetition_suppressed""]",84,growth_softness_vs_multiple_risk,22e68bca-25b2-47d6-bed5-ac6a0df95db8,2026-05-13T04:01:05.846Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""weak_catalyst_materiality_gate""]",87,duration_pressure,,2026-05-13T03:01:32.426Z
commodities-agent,Commodities Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""deprioritized_topic"",""conceptual_repetition_suppressed""]",86,oil_structure,,2026-05-13T03:01:31.687Z
equities-agent,Equities Agent,comment_only,"[""headline_routed_to_comment"",""fresh_catalyst_signal"",""matched_thesis_update""]",51,consumer_equities,,2026-05-13T03:01:31.025Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",55,real_yields,372fe373-b8f4-4336-b03c-a53d8ab090e5,2026-05-13T03:01:19.303Z
rates-agent,Rates Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""rates_template_repetition"",""no_fresh_signal""]",77,duration_pressure,,2026-05-13T03:01:18.651Z
macro-agent,Macro Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""stance_lock_challenge""]",85,consumer_demand,3768735f-a9d1-42fb-9615-617e141af710,2026-05-13T03:00:59.295Z
risk-sentiment-agent,Risk/Sentiment Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",84,credit_and_risk_sensitivity,48391bd0-1091-4c28-b0e9-37aeaf532881,2026-05-13T02:02:04.135Z
commodities-agent,Commodities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",86,oil_geopolitics_and_inflation_pass_through,cacc9e28-410e-4783-9391-e6cafdaeaf37,2026-05-13T02:01:51.985Z
equities-agent,Equities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",83,growth_softness_vs_multiple_risk,ea4a7ef4-81b7-471d-9db6-442760b40435,2026-05-13T02:01:33.363Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",83,oil_geopolitics_and_inflation_pass_through,fea0c4e3-2506-4e81-8f2e-5e5784aa78d5,2026-05-13T02:01:12.668Z
rates-agent,Rates Agent,update_existing,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""domain_relevance_low"",""weak_catalyst_materiality_gate""]",82,rates_repricing_and_duration_pressure,d0b7d88c-c18b-4f85-8c27-b000483e98cc,2026-05-13T02:01:00.420Z
macro-agent,Macro Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""weak_catalyst_materiality_gate""]",83,growth_softness_vs_multiple_risk,f70960b8-289d-4ba0-884a-7a12bcb3b301,2026-05-13T02:00:41.798Z
risk-sentiment-agent,Risk/Sentiment Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",83,duration_pressure,524ea55a-7451-4fc7-be65-112dee1edb4e,2026-05-13T01:01:31.665Z
commodities-agent,Commodities Agent,stay_silent,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""conceptual_repetition_suppressed""]",86,oil_structure,,2026-05-13T01:01:30.978Z
equities-agent,Equities Agent,stay_silent,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal"",""conceptual_repetition_suppressed""]",85,sector_defensives,,2026-05-13T01:01:30.220Z
fx-agent,FX Agent,comment_only,"[""headline_routed_to_comment"",""fresh_catalyst_signal"",""matched_thesis_update""]",54,real_yields,,2026-05-13T01:01:29.532Z
rates-agent,Rates Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""rates_template_repetition"",""no_fresh_signal""]",80,duration_pressure,,2026-05-13T01:01:28.984Z
macro-agent,Macro Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""stance_lock_challenge""]",83,consumer_demand,82cb0597-0ac1-4d33-b26e-9a5540872767,2026-05-13T01:01:16.196Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""repeated_catalyst_no_delta""]",81,credit_and_risk_sensitivity,,2026-05-13T00:02:55.716Z
commodities-agent,Commodities Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""repeated_catalyst_no_delta""]",85,oil_geopolitics_and_inflation_pass_through,,2026-05-13T00:02:55.025Z
equities-agent,Equities Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal""]",83,growth_softness_vs_multiple_risk,6bf9d6ff-b6f0-46fa-8235-cfbb162aae9d,2026-05-13T00:02:34.514Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",82,oil_geopolitics_and_inflation_pass_through,bfe00c33-2875-4955-a677-1919c864ed9e,2026-05-13T00:02:19.065Z
rates-agent,Rates Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""stance_lock_challenge""]",82,rates_repricing_and_duration_pressure,7df6bbcc-3152-407f-996a-ff42ce0f0d91,2026-05-13T00:01:58.682Z
macro-agent,Macro Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""headline_routed_to_comment""]",83,growth_softness_vs_multiple_risk,f1cc3202-f78a-4682-9014-ee6b51303fa2,2026-05-13T00:01:32.808Z
risk-sentiment-agent,Risk/Sentiment Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",83,duration_pressure,489202e8-ff6e-49e1-8cad-b444185c1b97,2026-05-12T21:00:55.035Z
commodities-agent,Commodities Agent,stay_silent,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""unresolved_thesis_nudge"",""weak_catalyst_materiality_gate""]",64,oil_structure,,2026-05-12T21:00:54.282Z
equities-agent,Equities Agent,stay_silent,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal"",""conceptual_repetition_suppressed""]",85,sector_defensives,,2026-05-12T21:00:53.513Z
fx-agent,FX Agent,stay_silent,"[""novelty_above_threshold"",""no_fresh_signal"",""matched_thesis_update"",""domain_relevance_low"",""weak_catalyst_materiality_gate""]",81,banks_small_caps,,2026-05-12T21:00:52.775Z
rates-agent,Rates Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""rates_template_repetition"",""no_fresh_signal""]",83,duration_pressure,,2026-05-12T21:00:52.056Z
