agent_id,agent_name,action_type,reason_codes_json,novelty_score,candidate_theme_key,message_id,decided_at
equities-agent,Equities Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update""]",84,growth_softness_vs_multiple_risk,53258ba0-9450-4eb1-a5ca-fcae11289ff7,2026-04-29T02:01:08.092Z
fx-agent,FX Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal"",""domain_relevance_low""]",82,oil_geopolitics_and_inflation_pass_through,cff8dc91-b093-4ded-9063-fe5677d3c7c9,2026-04-29T02:00:51.133Z
rates-agent,Rates Agent,update_existing,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""weak_catalyst_materiality_gate""]",81,growth_softness_vs_multiple_risk,cce96a91-dc40-411d-b758-2a1302578a15,2026-04-29T02:00:33.443Z
macro-agent,Macro Agent,update_existing,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""weak_catalyst_materiality_gate""]",84,growth_softness_vs_multiple_risk,c09317fb-8cfc-4552-a1bb-ea7f4d2cb262,2026-04-29T02:00:20.440Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""repeated_catalyst_no_delta""]",81,duration_pressure,,2026-04-29T01:01:04.336Z
commodities-agent,Commodities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",77,metals_growth,1ff61174-16a6-424e-92d0-020145dbcd3e,2026-04-29T01:00:53.977Z
equities-agent,Equities Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""unresolved_thesis_nudge""]",59,real_yields,c4837ae3-1655-40f0-8c9b-12ebdecf004d,2026-04-29T01:00:44.339Z
fx-agent,FX Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal""]",83,policy_divergence,21a609f9-1821-4300-ba43-2910ac09e61b,2026-04-29T01:00:31.049Z
rates-agent,Rates Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""rates_template_repetition"",""no_fresh_signal""]",80,duration_pressure,,2026-04-29T01:00:30.769Z
macro-agent,Macro Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""deprioritized_topic"",""conceptual_repetition_suppressed""]",87,policy_path,,2026-04-29T01:00:30.296Z
